 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   7.043787E-11  -4.634582E-42
      2   1.907563E-42  -1.716379E-10
      3   7.059737E-11  -6.978635E-12
      4   7.246931E-11  -4.313077E-42
      5   2.856573E-12  -1.716416E-10
      6   1.625192E-42  -1.724914E-10
      7   7.050701E-11  -1.395704E-11
      8   7.243526E-11  -6.496242E-12
      9   7.409391E-11  -3.976125E-42
     10   5.712066E-12  -1.712544E-10
     11   2.451464E-12  -1.723687E-10
     12   1.365389E-42  -1.731233E-10
     13   7.025474E-11  -2.092777E-11
     14   7.222358E-11  -1.300449E-11
     15   7.395774E-11  -6.066534E-12
     16   7.539668E-11  -3.690377E-42
     17   8.566840E-12  -1.705416E-10
     18   4.912645E-12  -1.719018E-10
     19   2.097667E-12  -1.729370E-10
     20   1.147531E-42  -1.736079E-10
     21   6.985959E-11  -2.787256E-11
     22   7.183444E-11  -1.953410E-11
     23   7.364871E-11  -1.217635E-11
     24   7.520800E-11  -5.699556E-12
     25   7.644435E-11  -3.449824E-42
     26   1.141232E-11  -1.695182E-10
     27   7.395456E-12  -1.710911E-10
     28   4.226198E-12  -1.724047E-10
     29   1.798332E-12  -1.733887E-10
     30   9.651674E-43  -1.740033E-10
     31   6.932964E-11  -3.477658E-11
     32   7.127756E-11  -2.608015E-11
     33   7.315041E-11  -1.833340E-11
     34   7.482842E-11  -1.146805E-11
     35   7.622966E-11  -5.391438E-12
     36   7.728935E-11  -3.247899E-42
     37   1.424202E-11  -1.681912E-10
     38   9.901598E-12  -1.699445E-10
     39   6.394742E-12  -1.715144E-10
     40   3.643485E-12  -1.728066E-10
     41   1.548037E-12  -1.737648E-10
     42   8.121289E-43  -1.743548E-10
     43   6.866971E-11  -4.162708E-11
     44   7.056173E-11  -3.263264E-11
     45   7.246481E-11  -2.453662E-11
     46   7.424481E-11  -1.730604E-11
     47   7.580163E-11  -1.086958E-11
     48   7.706313E-11  -5.135899E-12
     49   7.797401E-11  -3.079011E-42
     50   1.705073E-11  -1.665658E-10
     51   1.242909E-11  -1.684696E-10
     52   8.608844E-12  -1.702679E-10
     53   5.543348E-12  -1.718513E-10
     54   3.152751E-12  -1.731445E-10
     55   1.340275E-12  -1.741020E-10
     56   6.833048E-43  -1.746990E-10
     57   6.788330E-11  -4.841222E-11
     58   6.969455E-11  -3.917982E-11
     59   7.159890E-11  -3.078007E-11
     60   7.345639E-11  -2.321321E-11
     61   7.515281E-11  -1.643448E-11
     62   7.660281E-11  -1.036968E-11
     63   7.774419E-11  -4.926717E-12
     64   7.853326E-11  -2.938524E-42
     65   1.983377E-11  -1.646467E-10
     66   1.497458E-11  -1.666737E-10
     67   1.087050E-11  -1.686713E-10
     68   7.505111E-12  -1.705219E-10
     69   4.822672E-12  -1.721354E-10
     70   2.742256E-12  -1.734508E-10
     71   1.168984E-12  -1.744326E-10
     72   5.745055E-43  -1.750660E-10
     73   6.697343E-11  -5.512064E-11
     74   6.868285E-11  -4.570920E-11
     75   7.056112E-11  -3.705457E-11
     76   7.246855E-11  -2.918600E-11
     77   7.428246E-11  -2.208632E-11
     78   7.590487E-11  -1.570252E-11
     79   7.726268E-11  -9.957550E-12
     80   7.830391E-11  -4.758328E-12
     81   7.899629E-11  -2.822592E-42
     82   2.258673E-11  -1.624386E-10
     83   1.753400E-11  -1.645640E-10
     84   1.317926E-11  -1.667324E-10
     85   9.533553E-12  -1.688233E-10
     86   6.566374E-12  -1.707361E-10
     87   4.216107E-12  -1.723959E-10
     88   2.401252E-12  -1.737540E-10
     89   1.028872E-12  -1.747842E-10
     90   4.822802E-43  -1.754807E-10
     91   6.594300E-11  -6.174118E-11
     92   6.753294E-11  -5.220783E-11
     93   6.936024E-11  -4.334877E-11
     94   7.128964E-11  -3.521757E-11
     95   7.319514E-11  -2.782314E-11
     96   7.496936E-11  -2.113554E-11
     97   7.652783E-11  -1.509549E-11
     98   7.780841E-11  -9.623440E-12
     99   7.876907E-11  -4.625929E-12
    100   7.938770E-11  -2.728019E-42
    101   2.530527E-11  -1.599466E-10
    102   2.010280E-11  -1.621482E-10
    103   1.553297E-11  -1.644600E-10
    104   1.163099E-11  -1.667628E-10
    105   8.390817E-12  -1.689501E-10
    106   5.771971E-12  -1.709359E-10
    107   3.708936E-12  -1.726584E-10
    108   2.120252E-12  -1.740791E-10
    109   9.154064E-13  -1.751804E-10
    110   4.037714E-43  -1.759643E-10
    111   6.479492E-11  -6.826286E-11
    112   6.625087E-11  -5.866251E-11
    113   6.800506E-11  -4.964990E-11
    114   6.992946E-11  -4.129838E-11
    115   7.189893E-11  -3.364013E-11
    116   7.380058E-11  -2.666821E-11
    117   7.554036E-11  -2.034297E-11
    118   7.704553E-11  -1.460029E-11
    119   7.826393E-11  -9.358794E-12
    120   7.916273E-11  -4.525424E-12
    121   7.972834E-11  -2.652145E-42
    122   2.798512E-11  -1.571760E-10
    123   2.267603E-11  -1.594339E-10
    124   1.792820E-11  -1.618637E-10
    125   1.379757E-11  -1.643501E-10
    126   1.030077E-11  -1.667846E-10
    127   7.418775E-12  -1.690737E-10
    128   5.103918E-12  -1.711443E-10
    129   3.288242E-12  -1.729455E-10
    130   1.891022E-12  -1.744480E-10
    131   8.247379E-13  -1.756416E-10
    132   3.366010E-43  -1.765342E-10
    133   6.353221E-11  -7.467478E-11
    134   6.484254E-11  -6.505979E-11
    135   6.650429E-11  -5.594413E-11
    136   6.839855E-11  -4.741669E-11
    137   7.040414E-11  -3.952960E-11
    138   7.240637E-11  -3.229749E-11
    139   7.430448E-11  -2.570096E-11
    140   7.601620E-11  -1.969288E-11
    141   7.747916E-11  -1.420542E-11
    142   7.865023E-11  -9.156208E-12
    143   7.950472E-11  -4.453343E-12
    144   8.003592E-11  -2.592757E-42
    145   3.062205E-11  -1.541329E-10
    146   2.524840E-11  -1.564296E-10
    147   2.036049E-11  -1.589536E-10
    148   1.603165E-11  -1.615960E-10
    149   1.229877E-11  -1.642494E-10
    150   9.163536E-12  -1.668159E-10
    151   6.597024E-12  -1.692139E-10
    152   4.546514E-12  -1.713815E-10
    153   2.942762E-12  -1.732774E-10
    154   1.706468E-12  -1.748800E-10
    155   7.535976E-13  -1.761853E-10
    156   2.787794E-43  -1.772056E-10
    157   6.215804E-11  -8.096620E-11
    158   6.331378E-11  -7.138614E-11
    159   6.486658E-11  -6.221690E-11
    160   6.670778E-11  -5.355908E-11
    161   6.872249E-11  -4.548131E-11
    162   7.079733E-11  -3.801754E-11
    163   7.282791E-11  -3.116809E-11
    164   7.472455E-11  -2.490370E-11
    165   7.641548E-11  -1.917145E-11
    166   7.784754E-11  -1.390086E-11
    167   7.898568E-11  -9.009326E-12
    168   7.981214E-11  -4.406754E-12
    169   8.032552E-11  -2.548009E-42
    170   3.321190E-11  -1.508234E-10
    171   2.781437E-11  -1.531438E-10
    172   2.282460E-11  -1.557406E-10
    173   1.833003E-11  -1.585128E-10
    174   1.438521E-11  -1.613563E-10
    175   1.101107E-11  -1.641724E-10
    176   8.197372E-12  -1.668734E-10
    177   5.907750E-12  -1.693886E-10
    178   4.086044E-12  -1.716658E-10
    179   2.662712E-12  -1.736719E-10
    180   1.560490E-12  -1.753918E-10
    181   6.992045E-13  -1.768264E-10
    182   2.286327E-43  -1.779911E-10
    183   6.067576E-11  -8.712649E-11
    184   6.167038E-11  -7.762803E-11
    185   6.310051E-11  -6.845316E-11
    186   6.486827E-11  -5.971084E-11
    187   6.686664E-11  -5.148283E-11
    188   6.898607E-11  -4.381978E-11
    189   7.112144E-11  -3.674032E-11
    190   7.317821E-11  -3.023305E-11
    191   7.507684E-11  -2.426092E-11
    192   7.675488E-11  -1.876660E-11
    193   7.816739E-11  -1.367792E-11
    194   7.928634E-11  -8.912712E-12
    195   8.009971E-11  -4.383177E-12
    196   8.061003E-11  -2.516363E-42
    197   3.575058E-11  -1.472543E-10
    198   3.036824E-11  -1.495857E-10
    199   2.531462E-11  -1.522361E-10
    200   2.068824E-11  -1.551133E-10
    201   1.655859E-11  -1.581191E-10
    202   1.296393E-11  -1.611558E-10
    203   9.911961E-12  -1.641329E-10
    204   7.383057E-12  -1.669729E-10
    205   5.335342E-12  -1.696144E-10
    206   3.710529E-12  -1.720137E-10
    207   2.439604E-12  -1.741449E-10
    208   1.447847E-12  -1.759980E-10
    209   6.591837E-13  -1.775779E-10
    210   1.847421E-43  -1.789017E-10
    211   5.908890E-11  -9.314519E-11
    212   5.991818E-11  -8.377205E-11
    213   6.121463E-11  -7.463762E-11
    214   6.289123E-11  -6.585633E-11
    215   6.484986E-11  -5.751997E-11
    216   6.698670E-11  -4.969311E-11
    217   6.919839E-11  -4.241076E-11
    218   7.138815E-11  -3.567861E-11
    219   7.347079E-11  -2.947577E-11
    220   7.537590E-11  -2.375903E-11
    221   7.704938E-11  -1.846782E-11
    222   7.845351E-11  -1.352910E-11
    223   7.956625E-11  -8.861729E-12
    224   8.038013E-11  -4.380520E-12
    225   8.090046E-11  -2.496536E-42
    226   3.823420E-11  -1.434328E-10
    227   3.290423E-11  -1.457648E-10
    228   2.782417E-11  -1.484520E-10
    229   2.310074E-11  -1.514118E-10
    230   1.881570E-11  -1.545529E-10
    231   1.502250E-11  -1.577810E-10
    232   1.174548E-11  -1.610054E-10
    233   8.981511E-12  -1.641442E-10
    234   6.703649E-12  -1.671287E-10
    235   4.866093E-12  -1.699060E-10
    236   3.409504E-12  -1.724400E-10
    237   2.266073E-12  -1.747104E-10
    238   1.364017E-12  -1.767116E-10
    239   6.314956E-13  -1.784511E-10
    240   1.458951E-43  -1.799466E-10
    241   5.740119E-11  -9.901212E-11
    242   5.806312E-11  -8.980502E-11
    243   5.921751E-11  -8.075493E-11
    244   6.078800E-11  -7.197928E-11
    245   6.268589E-11  -6.357716E-11
    246   6.481443E-11  -5.562429E-11
    247   6.707412E-11  -4.816982E-11
    248   6.936834E-11  -4.123519E-11
    249   7.160851E-11  -3.481533E-11
    250   7.371808E-11  -2.888163E-11
    251   7.563495E-11  -2.338611E-11
    252   7.731241E-11  -1.826596E-11
    253   7.871900E-11  -1.344795E-11
    254   7.983766E-11  -8.852427E-12
    255   8.066440E-11  -4.397011E-12
    256   8.120623E-11  -2.487457E-42
    257   4.065918E-11  -1.393663E-10
    258   3.541659E-11  -1.416910E-10
    259   3.034653E-11  -1.444006E-10
    260   2.556115E-11  -1.474228E-10
    261   2.115188E-11  -1.506739E-10
    262   1.718513E-11  -1.540651E-10
    263   1.370027E-11  -1.575071E-10
    264   1.070986E-11  -1.609162E-10
    265   8.201999E-12  -1.642188E-10
    266   6.144174E-12  -1.673542E-10
    267   4.487947E-12  -1.702774E-10
    268   3.173809E-12  -1.729581E-10
    269   2.135708E-12  -1.753811E-10
    270   1.305087E-12  -1.775440E-10
    271   6.143760E-13  -1.794558E-10
    272   1.110436E-43  -1.811340E-10
    273   5.561670E-11  -1.047174E-10
    274   5.611130E-11  -9.571410E-11
    275   5.711779E-11  -8.678986E-11
    276   5.857000E-11  -7.806314E-11
    277   6.038879E-11  -6.963783E-11
    278   6.248536E-11  -6.159827E-11
    279   6.476566E-11  -5.400543E-11
    280   6.713529E-11  -4.689475E-11
    281   6.950459E-11  -4.027608E-11
    282   7.179285E-11  -3.413534E-11
    283   7.393154E-11  -2.843775E-11
    284   7.586601E-11  -2.313174E-11
    285   7.755603E-11  -1.815309E-11
    286   7.897548E-11  -1.342893E-11
    287   8.011131E-11  -8.881441E-12
    288   8.096200E-11  -4.431155E-12
    289   8.153543E-11  -2.488231E-42
    290   4.302253E-11  -1.350625E-10
    291   3.789974E-11  -1.373744E-10
    292   3.287479E-11  -1.400951E-10
    293   2.806240E-11  -1.431618E-10
    294   2.356122E-11  -1.464999E-10
    295   1.944836E-11  -1.500266E-10
    296   1.577638E-11  -1.536566E-10
    297   1.257238E-11  -1.573062E-10
    298   9.839092E-12  -1.608989E-10
    299   7.557633E-12  -1.643685E-10
    300   5.691361E-12  -1.676621E-10
    301   4.190274E-12  -1.707409E-10
    302   2.995410E-12  -1.735801E-10
    303   2.042915E-12  -1.761682E-10
    304   1.267643E-12  -1.785052E-10
    305   6.062846E-13  -1.806005E-10
    306   7.926922E-44  -1.824709E-10
    307   5.373998E-11  -1.102520E-10
    308   5.406905E-11  -1.014869E-10
    309   5.492425E-11  -9.272749E-11
    310   5.624880E-11  -8.409124E-11
    311   5.797292E-11  -7.568474E-11
    312   6.001625E-11  -6.759863E-11
    313   6.229131E-11  -5.990339E-11
    314   6.470769E-11  -5.264653E-11
    315   6.717665E-11  -4.585150E-11
    316   6.961545E-11  -3.951821E-11
    317   7.195089E-11  -3.362521E-11
    318   7.412174E-11  -2.813282E-11
    319   7.607997E-11  -2.298684E-11
    320   7.779102E-11  -1.812233E-11
    321   7.923320E-11  -1.346728E-11
    322   8.039655E-11  -8.945906E-12
    323   8.128117E-11  -4.481682E-12
    324   8.189497E-11  -2.498104E-42
    325   4.532248E-11  -1.305289E-10
    326   4.034845E-11  -1.328252E-10
    327   3.540201E-11  -1.355485E-10
    328   3.059697E-11  -1.386451E-10
    329   2.603679E-11  -1.420493E-10
    330   2.180708E-11  -1.456861E-10
    331   1.797169E-11  -1.494749E-10
    332   1.457083E-11  -1.533344E-10
    333   1.162105E-11  -1.571873E-10
    334   9.116994E-12  -1.609637E-10
    335   7.034300E-12  -1.646047E-10
    336   5.333419E-12  -1.680640E-10
    337   3.963673E-12  -1.713082E-10
    338   2.867233E-12  -1.743171E-10
    339   1.982775E-12  -1.770820E-10
    340   1.248688E-12  -1.796041E-10
    341   6.058600E-13  -1.818929E-10
    342   4.975370E-44  -1.839633E-10
    343   5.177702E-11  -1.156081E-10
    344   5.194298E-11  -1.071113E-10
    345   5.264575E-11  -9.855325E-11
    346   5.383609E-11  -9.004705E-11
    347   5.545289E-11  -8.170029E-11
    348   5.742439E-11  -7.360789E-11
    349   5.967044E-11  -6.584770E-11
    350   6.210598E-11  -5.847732E-11
    351   6.464498E-11  -5.153218E-11
    352   6.720462E-11  -4.502523E-11
    353   6.970892E-11  -3.894802E-11
    354   7.209170E-11  -3.327307E-11
    355   7.429835E-11  -2.795688E-11
    356   7.628672E-11  -2.294347E-11
    357   7.802705E-11  -1.816775E-11
    358   7.950125E-11  -1.355891E-11
    359   8.070161E-11  -9.043376E-12
    360   8.162904E-11  -4.547513E-12
    361   8.229080E-11  -2.516440E-42
    362   4.755990E-11  -1.257710E-10
    363   4.275814E-11  -1.280531E-10
    364   3.792145E-11  -1.307741E-10
    365   3.315707E-11  -1.338891E-10
    366   2.857084E-11  -1.373417E-10
