 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   7.144599E-11  -1.362621E-42
      2   7.138262E-11  -7.051363E-12
      3   7.143024E-11  -3.526266E-12
      4   7.244773E-11  -3.515483E-42
      5   7.333770E-11  -1.269290E-42
      6   7.119239E-11  -1.409132E-11
      7   7.130338E-11  -1.057343E-11
      8   7.234717E-11  -6.773462E-12
      9   7.320717E-11  -6.521166E-12
     10   7.328442E-11  -3.257080E-12
     11   7.415107E-11  -3.292493E-42
     12   7.487205E-11  -1.192182E-42
     13   7.087585E-11  -2.110861E-11
     14   7.104994E-11  -1.760355E-11
     15   7.210137E-11  -1.355871E-11
     16   7.291482E-11  -1.307355E-11
     17   7.307272E-11  -9.796975E-12
     18   7.399651E-11  -6.287457E-12
     19   7.469861E-11  -6.075590E-12
     20   7.480295E-11  -3.030544E-12
     21   7.553047E-11  -3.092600E-42
     22   7.611345E-11  -1.125573E-42
     23   7.043376E-11  -2.809190E-11
     24   7.067053E-11  -2.460532E-11
     25   7.171262E-11  -2.034570E-11
     26   7.246420E-11  -1.964865E-11
     27   7.270110E-11  -1.636396E-11
     28   7.366464E-11  -1.262264E-11
     29   7.433394E-11  -1.221257E-11
     30   7.453340E-11  -9.139092E-12
     31   7.534238E-11  -5.879806E-12
     32   7.591428E-11  -5.702565E-12
     33   7.603602E-11  -2.841505E-12
     34   7.664540E-11  -2.918166E-42
     35   7.711617E-11  -1.068808E-42
     36   6.986717E-11  -3.502992E-11
     37   7.016607E-11  -3.156745E-11
     38   7.118359E-11  -2.712390E-11
     39   7.185944E-11  -2.623692E-11
     40   7.217340E-11  -2.294896E-11
     41   7.315989E-11  -1.899840E-11
     42   7.378303E-11  -1.840539E-11
     43   7.407514E-11  -1.530648E-11
     44   7.495012E-11  -1.183240E-11
     45   7.549934E-11  -1.148722E-11
     46   7.572843E-11  -8.586653E-12
     47   7.643812E-11  -5.539414E-12
     48   7.690314E-11  -5.392041E-12
     49   7.703546E-11  -2.684611E-12
     50   7.754574E-11  -2.766664E-42
     51   7.792612E-11  -1.020684E-42
     52   6.917744E-11  -4.191145E-11
     53   6.953776E-11  -3.847869E-11
     54   7.051727E-11  -3.388230E-11
     55   7.110510E-11  -3.282788E-11
     56   7.149400E-11  -2.954194E-11
     57   7.248746E-11  -2.540629E-11
     58   7.305183E-11  -2.464678E-11
     59   7.343368E-11  -2.152626E-11
     60   7.435890E-11  -1.785361E-11
     61   7.487388E-11  -1.735131E-11
     62   7.520764E-11  -1.441285E-11
     63   7.600430E-11  -1.116845E-11
     64   7.645397E-11  -1.087970E-11
     65   7.670390E-11  -8.125365E-12
     66   7.732896E-11  -5.257087E-12
     67   7.770707E-11  -5.135582E-12
     68   7.784531E-11  -2.555419E-12
     69   7.827370E-11  -2.635760E-42
     70   7.858218E-11  -9.801665E-43
     71   6.836619E-11  -4.872531E-11
     72   6.878709E-11  -4.532783E-11
     73   6.971693E-11  -4.060952E-11
     74   7.020606E-11  -3.941027E-11
     75   7.066760E-11  -3.613197E-11
     76   7.165315E-11  -3.183659E-11
     77   7.214709E-11  -3.092791E-11
     78   7.261539E-11  -2.779036E-11
     79   7.357517E-11  -2.393744E-11
     80   7.404459E-11  -2.329013E-11
     81   7.447964E-11  -2.031640E-11
     82   7.534898E-11  -1.688580E-11
     83   7.577335E-11  -1.646311E-11
     84   7.613840E-11  -1.366211E-11
     85   7.686711E-11  -1.061444E-11
     86   7.723500E-11  -1.037497E-11
     87   7.749944E-11  -7.743260E-12
     88   7.805361E-11  -5.025118E-12
     89   7.836188E-11  -4.926138E-12
     90   7.850306E-11  -2.450226E-12
     91   7.886506E-11  -2.523330E-42
     92   7.911734E-11  -9.463634E-43
     93   6.743531E-11  -5.546041E-11
     94   6.791581E-11  -5.210374E-11
     95   6.878606E-11  -4.729381E-11
     96   6.916744E-11  -4.597209E-11
     97   6.969923E-11  -4.270739E-11
     98   7.066319E-11  -3.827840E-11
     99   7.107613E-11  -3.723844E-11
    100   7.162731E-11  -3.408916E-11
    101   7.260634E-11  -3.007605E-11
    102   7.301935E-11  -2.929689E-11
    103   7.355176E-11  -2.629152E-11
    104   7.447889E-11  -2.268804E-11
    105   7.486791E-11  -2.214009E-11
    106   7.534465E-11  -1.929383E-11
    107   7.616439E-11  -1.607341E-11
    108   7.651357E-11  -1.572080E-11
    109   7.690216E-11  -1.303654E-11
    110   7.757314E-11  -1.015654E-11
    111   7.787466E-11  -9.960302E-12
    112   7.814919E-11  -7.430267E-12
    113   7.864522E-11  -4.837059E-12
    114   7.889832E-11  -4.757797E-12
    115   7.904070E-11  -2.365939E-12
    116   7.935020E-11  -2.427455E-42
    117   7.955963E-11  -9.185069E-43
    118   6.638693E-11  -6.210574E-11
    119   6.692593E-11  -5.879537E-11
    120   6.772832E-11  -5.392317E-11
    121   6.799450E-11  -5.250077E-11
    122   6.859404E-11  -4.925588E-11
    123   6.952409E-11  -4.471978E-11
    124   6.984666E-11  -4.356669E-11
    125   7.047697E-11  -4.041158E-11
    126   7.146061E-11  -3.625984E-11
    127   7.180705E-11  -3.536284E-11
    128   7.243239E-11  -3.233042E-11
    129   7.340221E-11  -2.856952E-11
    130   7.374594E-11  -2.790614E-11
    131   7.433015E-11  -2.501717E-11
    132   7.522715E-11  -2.163309E-11
    133   7.554875E-11  -2.117337E-11
    134   7.605831E-11  -1.843675E-11
    135   7.683522E-11  -1.539801E-11
    136   7.712276E-11  -1.510737E-11
    137   7.752923E-11  -1.252108E-11
    138   7.815238E-11  -9.783064E-12
    139   7.840091E-11  -9.624942E-12
    140   7.868259E-11  -7.177908E-12
    141   7.913225E-11  -4.687494E-12
    142   7.934277E-11  -4.625593E-12
    143   7.948551E-11  -2.299974E-12
    144   7.975497E-11  -2.346411E-42
    145   7.993290E-11  -8.959361E-43
    146   6.522343E-11  -6.865038E-11
    147   6.581971E-11  -6.539174E-11
    148   6.654750E-11  -6.048543E-11
    149   6.669256E-11  -5.898332E-11
    150   6.735732E-11  -5.576460E-11
    151   6.824254E-11  -5.114790E-11
    152   6.846666E-11  -4.989981E-11
    153   6.917223E-11  -4.674533E-11
    154   7.014672E-11  -4.247757E-11
    155   7.041727E-11  -4.147735E-11
    156   7.113081E-11  -3.842335E-11
    157   7.212830E-11  -3.452241E-11
    158   7.241718E-11  -3.375443E-11
    159   7.310394E-11  -3.082643E-11
    160   7.406369E-11  -2.729014E-11
    161   7.434874E-11  -2.673048E-11
    162   7.497501E-11  -2.394292E-11
    163   7.584542E-11  -2.075100E-11
    164   7.611122E-11  -2.036993E-11
    165   7.664683E-11  -1.772643E-11
    166   7.738797E-11  -1.484388E-11
    167   7.762579E-11  -1.460828E-11
    168   7.804608E-11  -1.210294E-11
    169   7.863088E-11  -9.484126E-12
    170   7.883805E-11  -9.359786E-12
    171   7.912505E-11  -6.979036E-12
    172   7.953914E-11  -4.571877E-12
    173   7.971790E-11  -4.525353E-12
    174   7.986086E-11  -2.250165E-12
    175   8.010137E-11  -2.278658E-42
    176   8.025750E-11  -8.780821E-43
    177   6.394738E-11  -7.508352E-11
    178   6.459963E-11  -7.188200E-11
    179   6.524749E-11  -6.696833E-11
    180   6.526699E-11  -6.540643E-11
    181   6.599439E-11  -6.222037E-11
    182   6.682533E-11  -5.754923E-11
    183   6.694424E-11  -5.622399E-11
    184   6.772113E-11  -5.307701E-11
    185   6.867380E-11  -4.871661E-11
    186   6.886016E-11  -4.762813E-11
    187   6.965690E-11  -4.455881E-11
    188   7.066750E-11  -4.053681E-11
    189   7.089255E-11  -3.967588E-11
    190   7.167637E-11  -3.671363E-11
    191   7.268399E-11  -3.303877E-11
    192   7.292364E-11  -3.238743E-11
    193   7.366144E-11  -2.955160E-11
    194   7.461170E-11  -2.621446E-11
    195   7.484772E-11  -2.574805E-11
    196   7.550840E-11  -2.304765E-11
    197   7.635648E-11  -2.002316E-11
    198   7.657683E-11  -1.971250E-11
    199   7.713346E-11  -1.714682E-11
    200   7.784593E-11  -1.439760E-11
    201   7.804453E-11  -1.421113E-11
    202   7.847586E-11  -1.177123E-11
    203   7.903127E-11  -9.251349E-12
    204   7.920717E-11  -9.157118E-12
    205   7.949854E-11  -6.827618E-12
    206   7.988691E-11  -4.486380E-12
    207   8.004323E-11  -4.453565E-12
    208   8.018673E-11  -2.214695E-12
    209   8.040818E-11  -2.222831E-42
    210   8.055076E-11  -8.644555E-43
    211   6.256158E-11  -8.139445E-11
    212   6.326838E-11  -7.825538E-11
    213   6.383229E-11  -7.335961E-11
    214   6.372317E-11  -7.175664E-11
    215   6.451061E-11  -6.860977E-11
    216   6.527924E-11  -6.390975E-11
    217   6.528756E-11  -6.252471E-11
    218   6.613179E-11  -5.939240E-11
    219   6.705119E-11  -5.496309E-11
    220   6.714622E-11  -5.380145E-11
    221   6.802097E-11  -5.072373E-11
    222   6.903084E-11  -4.660096E-11
    223   6.918386E-11  -4.565933E-11
    224   7.005885E-11  -4.266860E-11
    225   7.109943E-11  -3.887078E-11
    226   7.128521E-11  -3.813693E-11
    227   7.212856E-11  -3.525676E-11
    228   7.314420E-11  -3.178475E-11
    229   7.334238E-11  -3.123916E-11
    230   7.412286E-11  -2.848348E-11
    231   7.506525E-11  -2.532208E-11
    232   7.526101E-11  -2.493979E-11
    233   7.595017E-11  -2.231304E-11
    234   7.678066E-11  -1.943356E-11
    235   7.696484E-11  -1.918618E-11
    236   7.753879E-11  -1.668417E-11
    237   7.822960E-11  -1.404771E-11
    238   7.839822E-11  -1.390531E-11
    239   7.883881E-11  -1.151672E-11
    240   7.937324E-11  -9.077634E-12
    241   7.952668E-11  -9.010396E-12
    242   7.982208E-11  -6.718559E-12
    243   8.019368E-11  -4.427783E-12
    244   8.033559E-11  -4.407270E-12
