 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1  -7.173809E-53   1.157017E-40
      2  -1.129489E-22   2.506266E-10
      3  -7.936508E-11   1.735526E-40
      4  -1.587302E-10   2.506266E-10
      5  -1.709162E-22   5.012531E-10
      6  -1.587302E-10   1.157017E-40
      7  -7.936508E-11   2.506266E-10
      8  -2.380952E-10   1.735526E-40
      9  -7.936508E-11   5.012531E-10
     10  -2.033830E-22   7.518797E-10
     11  -3.174603E-10   2.506266E-10
     12  -3.174603E-10   1.157017E-40
     13  -2.380952E-10   2.506266E-10
     14  -3.968254E-10   1.735526E-40
     15  -1.587302E-10   7.518797E-10
     16  -1.587302E-10   5.012531E-10
     17  -2.314296E-22   1.002506E-09
     18  -2.380952E-10   5.012531E-10
     19  -7.936508E-11   7.518797E-10
     20  -7.936508E-11   1.002506E-09
     21  -2.559090E-22   1.253133E-09
     22  -4.761905E-10   2.506266E-10
     23  -4.761905E-10   1.157017E-40
     24  -3.968254E-10   2.506266E-10
     25  -5.555556E-10   1.735526E-40
     26  -3.174603E-10   7.518797E-10
     27  -3.174603E-10   5.012531E-10
     28  -3.968254E-10   5.012531E-10
     29  -2.380952E-10   7.518797E-10
     30  -1.587302E-10   1.253133E-09
     31  -1.587302E-10   1.002506E-09
     32  -2.795870E-22   1.503759E-09
     33  -2.380952E-10   1.002506E-09
     34  -7.936508E-11   1.253133E-09
     35  -7.936508E-11   1.503759E-09
     36  -3.034719E-22   1.754386E-09
     37  -6.349206E-10   2.506266E-10
     38  -6.349206E-10   1.157017E-40
     39  -5.555556E-10   2.506266E-10
     40  -7.142857E-10   1.735526E-40
     41  -4.761905E-10   7.518797E-10
     42  -4.761905E-10   5.012531E-10
     43  -5.555556E-10   5.012531E-10
     44  -3.968254E-10   7.518797E-10
     45  -3.174603E-10   1.253133E-09
     46  -3.174603E-10   1.002506E-09
     47  -3.968254E-10   1.002506E-09
     48  -2.380952E-10   1.253133E-09
     49  -1.587302E-10   1.754386E-09
     50  -1.587302E-10   1.503759E-09
     51  -3.276669E-22   2.005013E-09
     52  -2.380952E-10   1.503759E-09
     53  -7.936508E-11   1.754386E-09
     54  -7.936508E-11   2.005013E-09
     55  -3.539299E-22   2.255639E-09
     56  -7.936508E-10   2.506266E-10
     57  -7.936508E-10   1.157017E-40
     58  -7.142857E-10   2.506266E-10
     59  -8.730159E-10   1.735526E-40
     60  -6.349206E-10   7.518797E-10
     61  -6.349206E-10   5.012531E-10
     62  -7.142857E-10   5.012531E-10
     63  -5.555556E-10   7.518797E-10
     64  -4.761905E-10   1.253133E-09
     65  -4.761905E-10   1.002506E-09
     66  -5.555556E-10   1.002506E-09
     67  -3.968254E-10   1.253133E-09
     68  -3.174603E-10   1.754386E-09
     69  -3.174603E-10   1.503759E-09
     70  -3.968254E-10   1.503759E-09
     71  -2.380952E-10   1.754386E-09
     72  -1.587302E-10   2.255639E-09
     73  -1.587302E-10   2.005013E-09
     74  -3.823642E-22   2.506266E-09
     75  -2.380952E-10   2.005013E-09
     76  -7.936508E-11   2.255639E-09
     77  -7.936508E-11   2.506266E-09
     78  -4.126597E-22   2.756892E-09
     79  -9.523810E-10   2.506266E-10
     80  -9.523810E-10   1.157017E-40
     81  -8.730159E-10   2.506266E-10
     82  -1.031746E-09   1.735526E-40
     83  -7.936508E-10   7.518797E-10
     84  -7.936508E-10   5.012531E-10
     85  -8.730159E-10   5.012531E-10
     86  -7.142857E-10   7.518797E-10
     87  -6.349206E-10   1.253133E-09
     88  -6.349206E-10   1.002506E-09
     89  -7.142857E-10   1.002506E-09
     90  -5.555556E-10   1.253133E-09
     91  -4.761905E-10   1.754386E-09
     92  -4.761905E-10   1.503759E-09
     93  -5.555556E-10   1.503759E-09
     94  -3.968254E-10   1.754386E-09
     95  -3.174603E-10   2.255639E-09
     96  -3.174603E-10   2.005013E-09
     97  -3.968254E-10   2.005013E-09
     98  -2.380952E-10   2.255639E-09
     99  -1.587302E-10   2.756892E-09
    100  -1.587302E-10   2.506266E-09
    101  -4.439892E-22   3.007519E-09
    102  -2.380952E-10   2.506266E-09
    103  -7.936508E-11   2.756892E-09
    104  -7.936508E-11   3.007519E-09
    105  -4.768696E-22   3.258145E-09
    106  -1.111111E-09   2.506266E-10
    107  -1.111111E-09   1.157017E-40
    108  -1.031746E-09   2.506266E-10
    109  -1.190476E-09   1.735526E-40
    110  -9.523810E-10   7.518797E-10
    111  -9.523810E-10   5.012531E-10
    112  -1.031746E-09   5.012531E-10
    113  -8.730159E-10   7.518797E-10
    114  -7.936508E-10   1.253133E-09
    115  -7.936508E-10   1.002506E-09
    116  -8.730159E-10   1.002506E-09
    117  -7.142857E-10   1.253133E-09
    118  -6.349206E-10   1.754386E-09
    119  -6.349206E-10   1.503759E-09
    120  -7.142857E-10   1.503759E-09
    121  -5.555556E-10   1.754386E-09
    122  -4.761905E-10   2.255639E-09
    123  -4.761905E-10   2.005013E-09
    124  -5.555556E-10   2.005013E-09
    125  -3.968254E-10   2.255639E-09
    126  -3.174603E-10   2.756892E-09
    127  -3.174603E-10   2.506266E-09
    128  -3.968254E-10   2.506266E-09
    129  -2.380952E-10   2.756892E-09
    130  -1.587302E-10   3.258145E-09
    131  -1.587302E-10   3.007519E-09
    132  -5.098535E-22   3.508772E-09
    133  -2.380952E-10   3.007519E-09
    134  -7.936508E-11   3.258145E-09
    135  -7.936508E-11   3.508772E-09
    136  -5.435611E-22   3.759398E-09
    137  -1.269841E-09   2.506266E-10
    138  -1.269841E-09   1.157017E-40
