 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   7.855946E-41   1.298659E-08
      2   7.870097E-41   1.301939E-08
      3   1.275542E-10   1.298551E-08
      4   7.913369E-41   1.305346E-08
      5   1.278019E-10   1.301852E-08
      6   2.550578E-10   1.298343E-08
      7   7.957802E-41   1.308882E-08
      8   1.281173E-10   1.305271E-08
      9   2.556178E-10   1.301647E-08
     10   3.825063E-10   1.298018E-08
     11   8.002943E-41   1.312548E-08
     12   1.284611E-10   1.308812E-08
     13   2.562506E-10   1.305069E-08
     14   3.834034E-10   1.301321E-08
     15   5.099057E-10   1.297572E-08
     16   8.048768E-41   1.316345E-08
     17   1.288224E-10   1.312480E-08
     18   2.569309E-10   1.308614E-08
     19   3.843670E-10   1.304745E-08
     20   5.111434E-10   1.300874E-08
     21   6.372520E-10   1.297003E-08
     22   8.095309E-41   1.320276E-08
     23   1.291977E-10   1.316279E-08
     24   2.576467E-10   1.312284E-08
     25   3.853876E-10   1.308290E-08
     26   5.124456E-10   1.304297E-08
     27   6.388280E-10   1.300304E-08
     28   7.645364E-10   1.296311E-08
     29   8.142599E-41   1.324345E-08
     30   1.295862E-10   1.320210E-08
     31   2.583927E-10   1.316084E-08
     32   3.864575E-10   1.311961E-08
     33   5.138113E-10   1.307842E-08
     34   6.404719E-10   1.303725E-08
     35   7.664478E-10   1.299610E-08
     36   8.917484E-10   1.295495E-08
     37   8.190667E-41   1.328554E-08
     38   1.299877E-10   1.324279E-08
     39   2.591665E-10   1.320016E-08
     40   3.875722E-10   1.315762E-08
     41   5.152374E-10   1.311513E-08
     42   6.421862E-10   1.307269E-08
     43   7.684339E-10   1.303030E-08
     44   8.939925E-10   1.298793E-08
     45   1.018876E-09   1.294556E-08
     46   8.239542E-41   1.332908E-08
     47   1.304024E-10   1.328489E-08
     48   2.599675E-10   1.324086E-08
     49   3.887296E-10   1.319695E-08
     50   5.167216E-10   1.315313E-08
     51   6.439709E-10   1.310940E-08
     52   7.704985E-10   1.306572E-08
     53   8.963202E-10   1.302210E-08
     54   1.021451E-09   1.297851E-08
     55   1.145909E-09   1.293492E-08
     56   8.289249E-41   1.337410E-08
     57   1.308307E-10   1.332843E-08
     58   2.607958E-10   1.328296E-08
     59   3.899288E-10   1.323764E-08
     60   5.182622E-10   1.319246E-08
     61   6.458257E-10   1.314739E-08
     62   7.726437E-10   1.310241E-08
     63   8.987359E-10   1.305750E-08
     64   1.024119E-09   1.301266E-08
     65   1.148812E-09   1.296785E-08
     66   1.272833E-09   1.292305E-08
     67   8.339814E-41   1.342064E-08
     68   1.312729E-10   1.337345E-08
     69   2.616518E-10   1.332649E-08
     70   3.911696E-10   1.327974E-08
     71   5.198589E-10   1.323315E-08
     72   6.477501E-10   1.318671E-08
     73   7.748703E-10   1.314039E-08
     74   9.012424E-10   1.309417E-08
     75   1.026886E-09   1.304804E-08
     76   1.151820E-09   1.300197E-08
     77   1.276063E-09   1.295594E-08
     78   1.399637E-09   1.290993E-08
     79   8.391262E-41   1.346874E-08
     80   1.317295E-10   1.341999E-08
     81   2.625361E-10   1.337151E-08
     82   3.924528E-10   1.332327E-08
     83   5.215118E-10   1.327524E-08
     84   6.497445E-10   1.322739E-08
     85   7.771794E-10   1.317969E-08
     86   9.038420E-10   1.313213E-08
     87   1.029754E-09   1.308467E-08
     88   1.154937E-09   1.303732E-08
     89   1.279410E-09   1.299003E-08
     90   1.403193E-09   1.294279E-08
     91   1.526308E-09   1.289557E-08
     92   8.443617E-41   1.351845E-08
     93   1.322007E-10   1.346809E-08
     94   2.634493E-10   1.341805E-08
     95   3.937789E-10   1.336829E-08
     96   5.232217E-10   1.331877E-08
     97   6.518094E-10   1.326947E-08
     98   7.795719E-10   1.322036E-08
     99   9.065364E-10   1.317141E-08
    100   1.032727E-09   1.312261E-08
    101   1.158167E-09   1.307393E-08
    102   1.282877E-09   1.302535E-08
    103   1.406877E-09   1.297684E-08
    104   1.530189E-09   1.292839E-08
    105   1.652834E-09   1.287997E-08
    106   8.496904E-41   1.356980E-08
    107   1.326867E-10   1.351780E-08
    108   2.643922E-10   1.346615E-08
    109   3.951491E-10   1.341483E-08
    110   5.249897E-10   1.336378E-08
    111   6.539461E-10   1.331299E-08
    112   7.820490E-10   1.326242E-08
    113   9.093274E-10   1.321205E-08
    114   1.035808E-09   1.316186E-08
    115   1.161514E-09   1.311183E-08
    116   1.286469E-09   1.306192E-08
    117   1.410694E-09   1.301213E-08
    118   1.534210E-09   1.296241E-08
    119   1.657039E-09   1.291275E-08
    120   1.779202E-09   1.286313E-08
    121   8.551147E-41   1.362284E-08
    122   1.331879E-10   1.356915E-08
    123   2.653655E-10   1.351586E-08
    124   3.965645E-10   1.346292E-08
    125   5.268172E-10   1.341031E-08
    126   6.561559E-10   1.335799E-08
    127   7.846125E-10   1.330592E-08
    128   9.122170E-10   1.325410E-08
    129   1.038998E-09   1.320248E-08
    130   1.164980E-09   1.315106E-08
    131   1.290189E-09   1.309979E-08
    132   1.414647E-09   1.304866E-08
    133   1.538375E-09   1.299765E-08
    134   1.661396E-09   1.294673E-08
    135   1.783731E-09   1.289587E-08
    136   1.905400E-09   1.284505E-08
    137   8.606375E-41   1.367761E-08
    138   1.337042E-10   1.362219E-08
    139   2.663699E-10   1.356721E-08
    140   3.980265E-10   1.351263E-08
    141   5.287058E-10   1.345840E-08
    142   6.584408E-10   1.340450E-08
    143   7.872642E-10   1.335091E-08
    144   9.152074E-10   1.329758E-08
    145   1.042300E-09   1.324450E-08
    146   1.168569E-09   1.319165E-08
    147   1.294042E-09   1.313898E-08
    148   1.418740E-09   1.308649E-08
    149   1.542688E-09   1.303415E-08
    150   1.665908E-09   1.298193E-08
    151   1.788422E-09   1.292980E-08
    152   1.910251E-09   1.287775E-08
    153   2.031417E-09   1.282574E-08
