 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   3.174603E-10   3.471051E-40
      2   3.174603E-10   5.012531E-10
      3   1.587302E-10   3.471051E-40
      4   3.174603E-10   1.002506E-09
      5   1.587302E-10   5.012531E-10
      6   2.709053E-54   3.471051E-40
      7   3.174603E-10   1.503759E-09
      8   1.587302E-10   1.002506E-09
      9  -1.045349E-22   5.012531E-10
     10  -1.587302E-10   3.471051E-40
     11   3.174603E-10   2.005013E-09
     12   1.587302E-10   1.503759E-09
     13  -2.091733E-22   1.002506E-09
     14  -1.587302E-10   5.012531E-10
     15  -3.174603E-10   3.471051E-40
     16   3.174603E-10   2.506266E-09
     17   1.587302E-10   2.005013E-09
     18  -3.147939E-22   1.503759E-09
     19  -1.587302E-10   1.002506E-09
     20  -3.174603E-10   5.012531E-10
     21  -4.761905E-10   3.471051E-40
     22   3.174603E-10   3.007519E-09
     23   1.587302E-10   2.506266E-09
     24  -4.216036E-22   2.005013E-09
     25  -1.587302E-10   1.503759E-09
     26  -3.174603E-10   1.002506E-09
     27  -4.761905E-10   5.012531E-10
     28  -6.349206E-10   3.471051E-40
     29   3.174603E-10   3.508772E-09
     30   1.587302E-10   3.007519E-09
     31  -5.267073E-22   2.506266E-09
     32  -1.587302E-10   2.005013E-09
     33  -3.174603E-10   1.503759E-09
     34  -4.761905E-10   1.002506E-09
     35  -6.349206E-10   5.012531E-10
     36  -7.936508E-10   3.471051E-40
     37   3.174603E-10   4.010025E-09
     38   1.587302E-10   3.508772E-09
     39  -6.336203E-22   3.007519E-09
     40  -1.587302E-10   2.506266E-09
     41  -3.174603E-10   2.005013E-09
     42  -4.761905E-10   1.503759E-09
     43  -6.349206E-10   1.002506E-09
     44  -7.936508E-10   5.012531E-10
     45  -9.523810E-10   3.471051E-40
     46   3.174603E-10   4.511278E-09
     47   1.587302E-10   4.010025E-09
     48  -7.402233E-22   3.508772E-09
     49  -1.587302E-10   3.007519E-09
     50  -3.174603E-10   2.506266E-09
     51  -4.761905E-10   2.005013E-09
     52  -6.349206E-10   1.503759E-09
     53  -7.936508E-10   1.002506E-09
     54  -9.523810E-10   5.012531E-10
     55  -1.111111E-09   3.471051E-40
     56   3.174603E-10   5.012531E-09
     57   1.587302E-10   4.511278E-09
     58  -8.471363E-22   4.010025E-09
     59  -1.587302E-10   3.508772E-09
     60  -3.174603E-10   3.007519E-09
     61  -4.761905E-10   2.506266E-09
