 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   1.428571E-09   5.206577E-40
      2   1.428571E-09   5.012531E-10
      3   1.269841E-09   5.206577E-40
      4   1.428571E-09   1.002506E-09
      5   1.269841E-09   5.012531E-10
      6   1.111111E-09   5.206577E-40
      7   1.428571E-09   1.503759E-09
      8   1.269841E-09   1.002506E-09
      9   1.111111E-09   5.012531E-10
     10   9.523810E-10   5.206577E-40
     11   1.428571E-09   2.005013E-09
     12   1.269841E-09   1.503759E-09
     13   1.111111E-09   1.002506E-09
     14   9.523810E-10   5.012531E-10
     15   7.936508E-10   5.206577E-40
     16   1.428571E-09   2.506266E-09
     17   1.269841E-09   2.005013E-09
     18   1.111111E-09   1.503759E-09
     19   9.523810E-10   1.002506E-09
     20   7.936508E-10   5.012531E-10
     21   6.349206E-10   5.206577E-40
     22   1.428571E-09   3.007519E-09
     23   1.269841E-09   2.506266E-09
     24   1.111111E-09   2.005013E-09
     25   9.523810E-10   1.503759E-09
     26   7.936508E-10   1.002506E-09
     27   6.349206E-10   5.012531E-10
     28   4.761905E-10   5.206577E-40
     29   1.428571E-09   3.508772E-09
     30   1.269841E-09   3.007519E-09
     31   1.111111E-09   2.506266E-09
     32   9.523810E-10   2.005013E-09
     33   7.936508E-10   1.503759E-09
     34   6.349206E-10   1.002506E-09
     35   4.761905E-10   5.012531E-10
     36   3.174603E-10   5.206577E-40
     37   1.428571E-09   4.010025E-09
     38   1.269841E-09   3.508772E-09
     39   1.111111E-09   3.007519E-09
     40   9.523810E-10   2.506266E-09
     41   7.936508E-10   2.005013E-09
     42   6.349206E-10   1.503759E-09
     43   4.761905E-10   1.002506E-09
     44   3.174603E-10   5.012531E-10
     45   1.587302E-10   5.206577E-40
     46   1.428571E-09   4.511278E-09
     47   1.269841E-09   4.010025E-09
     48   1.111111E-09   3.508772E-09
     49   9.523810E-10   3.007519E-09
     50   7.936508E-10   2.506266E-09
     51   6.349206E-10   2.005013E-09
     52   4.761905E-10   1.503759E-09
     53   3.174603E-10   1.002506E-09
     54   1.587302E-10   5.012531E-10
     55  -3.062560E-54   5.206577E-40
     56   1.428571E-09   5.012531E-09
     57   1.269841E-09   4.511278E-09
     58   1.111111E-09   4.010025E-09
     59   9.523810E-10   3.508772E-09
     60   7.936508E-10   3.007519E-09
     61   6.349206E-10   2.506266E-09
     62   4.761905E-10   2.005013E-09
     63   3.174603E-10   1.503759E-09
     64   1.587302E-10   1.002506E-09
     65  -3.912952E-24   5.012531E-10
     66   1.428571E-09   5.513784E-09
     67   1.269841E-09   5.012531E-09
     68   1.111111E-09   4.511278E-09
     69   9.523810E-10   4.010025E-09
     70   7.936508E-10   3.508772E-09
     71   6.349206E-10   3.007519E-09
     72   4.761905E-10   2.506266E-09
     73   3.174603E-10   2.005013E-09
     74   1.587302E-10   1.503759E-09
     75  -5.095562E-24   1.002506E-09
     76   1.428571E-09   6.015038E-09
     77   1.269841E-09   5.513784E-09
     78   1.111111E-09   5.012531E-09
     79   9.523810E-10   4.511278E-09
     80   7.936508E-10   4.010025E-09
     81   6.349206E-10   3.508772E-09
     82   4.761905E-10   3.007519E-09
     83   3.174603E-10   2.506266E-09
     84   1.587302E-10   2.005013E-09
     85  -6.223242E-24   1.503759E-09
     86   1.428571E-09   6.516291E-09
     87   1.269841E-09   6.015038E-09
     88   1.111111E-09   5.513784E-09
     89   9.523810E-10   5.012531E-09
     90   7.936508E-10   4.511278E-09
     91   6.349206E-10   4.010025E-09
     92   4.761905E-10   3.508772E-09
     93   3.174603E-10   3.007519E-09
     94   1.587302E-10   2.506266E-09
     95  -6.365413E-24   2.005013E-09
     96   1.428571E-09   7.017544E-09
     97   1.269841E-09   6.516291E-09
     98   1.111111E-09   6.015038E-09
     99   9.523810E-10   5.513784E-09
    100   7.936508E-10   5.012531E-09
    101   6.349206E-10   4.511278E-09
    102   4.761905E-10   4.010025E-09
    103   3.174603E-10   3.508772E-09
    104   1.587302E-10   3.007519E-09
    105  -7.586797E-24   2.506266E-09
    106   1.428571E-09   7.518797E-09
    107   1.269841E-09   7.017544E-09
    108   1.111111E-09   6.516291E-09
    109   9.523810E-10   6.015038E-09
    110   7.936508E-10   5.513784E-09
    111   6.349206E-10   5.012531E-09
    112   4.761905E-10   4.511278E-09
    113   3.174603E-10   4.010025E-09
    114   1.587302E-10   3.508772E-09
    115  -8.788794E-24   3.007519E-09
    116   1.428571E-09   8.020050E-09
    117   1.269841E-09   7.518797E-09
    118   1.111111E-09   7.017544E-09
    119   9.523810E-10   6.516291E-09
    120   7.936508E-10   6.015038E-09
    121   6.349206E-10   5.513784E-09
    122   4.761905E-10   5.012531E-09
    123   3.174603E-10   4.511278E-09
    124   1.587302E-10   4.010025E-09
    125  -1.084382E-23   3.508772E-09
    126   1.428571E-09   8.521303E-09
    127   1.269841E-09   8.020050E-09
    128   1.111111E-09   7.518797E-09
    129   9.523810E-10   7.017544E-09
    130   7.936508E-10   6.516291E-09
    131   6.349206E-10   6.015038E-09
    132   4.761905E-10   5.513784E-09
    133   3.174603E-10   5.012531E-09
    134   1.587302E-10   4.511278E-09
    135  -1.183902E-23   4.010025E-09
    136   1.428571E-09   9.022556E-09
    137   1.269841E-09   8.521303E-09
    138   1.111111E-09   8.020050E-09
    139   9.523810E-10   7.518797E-09
    140   7.936508E-10   7.017544E-09
    141   6.349206E-10   6.516291E-09
    142   4.761905E-10   6.015038E-09
    143   3.174603E-10   5.513784E-09
    144   1.587302E-10   5.012531E-09
    145  -1.204582E-23   4.511278E-09
    146   1.428571E-09   9.523810E-09
    147   1.269841E-09   9.022556E-09
    148   1.111111E-09   8.521303E-09
    149   9.523810E-10   8.020050E-09
    150   7.936508E-10   7.518797E-09
    151   6.349206E-10   7.017544E-09
    152   4.761905E-10   6.516291E-09
    153   3.174603E-10   6.015038E-09
    154   1.587302E-10   5.513784E-09
    155  -1.357093E-23   5.012531E-09
    156   1.269841E-09   9.523810E-09
    157   1.111111E-09   9.022556E-09
