 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1  -8.060030E-13  -2.622566E-10
      2  -7.276102E-43  -2.623958E-10
      3  -4.731774E-13  -2.569070E-10
      4  -6.084322E-43  -2.571037E-10
      5  -6.102250E-13  -2.595667E-10
      6  -9.860364E-43  -2.597603E-10
      7  -1.237374E-12  -2.591646E-10
      8  -1.791256E-12  -2.584592E-10
      9  -1.592785E-12  -2.618459E-10
     10  -2.342569E-12  -2.611646E-10
     11  -3.663072E-12  -2.590322E-10
     12  -3.038973E-12  -2.602251E-10
     13  -2.261891E-13  -2.516462E-10
     14  -5.069114E-43  -2.518949E-10
     15  -3.313156E-13  -2.542584E-10
     16  -8.189149E-43  -2.545044E-10
     17  -6.629556E-13  -2.538182E-10
     18  -9.419882E-13  -2.530979E-10
     19  -9.262184E-13  -2.564584E-10
     20  -1.346486E-12  -2.557590E-10
     21  -2.040383E-12  -2.536404E-10
     22  -1.721718E-12  -2.548173E-10
     23  -2.336661E-12  -2.575336E-10
     24  -2.777478E-12  -2.563445E-10
     25  -3.185814E-12  -2.549356E-10
     26  -3.466163E-12  -2.533105E-10
     27  -4.204067E-12  -2.576060E-10
     28  -4.644167E-12  -2.559550E-10
     29  -5.191411E-12  -2.520640E-10
     30  -4.978332E-12  -2.541037E-10
     31  -4.281160E-14  -2.465119E-10
     32  -4.243586E-43  -2.468063E-10
     33  -1.241209E-13  -2.490594E-10
     34  -6.837307E-43  -2.493517E-10
     35  -2.372307E-13  -2.485862E-10
     36  -3.132195E-13  -2.478539E-10
     37  -4.323797E-13  -2.511651E-10
     38  -6.091686E-13  -2.504504E-10
     39  -8.386765E-13  -2.483510E-10
     40  -7.474714E-13  -2.495110E-10
     41  -1.202373E-12  -2.521710E-10
     42  -1.388121E-12  -2.509996E-10
     43  -1.537383E-12  -2.496195E-10
     44  -1.595400E-12  -2.480371E-10
     45  -2.292370E-12  -2.522414E-10
     46  -2.468209E-12  -2.506319E-10
     47  -2.562663E-12  -2.468454E-10
     48  -2.560590E-12  -2.488282E-10
     49  -3.693022E-12  -2.514766E-10
     50  -3.777746E-12  -2.494778E-10
     51  -3.792430E-12  -2.472902E-10
     52  -3.660292E-12  -2.449890E-10
     53  -5.283976E-12  -2.498615E-10
     54  -5.244518E-12  -2.475115E-10
     55  -4.778608E-12  -2.424575E-10
     56  -5.078538E-12  -2.450376E-10
     57   9.289614E-14  -2.415301E-10
     58  -3.566599E-43  -2.418636E-10
     59   2.959956E-14  -2.440010E-10
     60  -5.733940E-43  -2.443330E-10
     61   7.778993E-14  -2.434994E-10
     62   1.513633E-13  -2.427582E-10
     63  -6.650665E-14  -2.460031E-10
     64  -6.367121E-14  -2.452759E-10
     65   4.974451E-14  -2.431977E-10
     66  -2.724346E-14  -2.443406E-10
     67  -3.632413E-13  -2.469283E-10
     68  -3.597261E-13  -2.457752E-10
     69  -3.160789E-13  -2.444252E-10
     70  -2.064170E-13  -2.428849E-10
     71  -8.752444E-13  -2.469833E-10
     72  -8.500342E-13  -2.454158E-10
     73  -5.923800E-13  -2.417400E-10
     74  -7.575355E-13  -2.436644E-10
     75  -1.601278E-12  -2.462537E-10
     76  -1.505535E-12  -2.443134E-10
     77  -1.345231E-12  -2.421881E-10
     78  -1.079275E-12  -2.399519E-10
     79  -2.470194E-12  -2.447015E-10
     80  -2.279213E-12  -2.424133E-10
     81  -1.596956E-12  -2.374774E-10
     82  -1.988515E-12  -2.399997E-10
     83  -3.446815E-12  -2.425248E-10
     84  -3.090563E-12  -2.399949E-10
     85  -2.647056E-12  -2.373311E-10
     86  -2.072093E-12  -2.346436E-10
     87  -4.354079E-12  -2.397910E-10
     88  -3.801548E-12  -2.370569E-10
     89  -2.348362E-12  -2.314490E-10
     90  -3.132911E-12  -2.342700E-10
     91   1.925627E-13  -2.367186E-10
     92  -3.007123E-43  -2.370846E-10
     93   1.430511E-13  -2.391047E-10
     94  -4.826042E-43  -2.394699E-10
     95   3.096020E-13  -2.385794E-10
     96   4.925840E-13  -2.378321E-10
     97   2.036182E-13  -2.409982E-10
     98   3.383374E-13  -2.402615E-10
     99   7.031692E-13  -2.382050E-10
    100   5.028640E-13  -2.393312E-10
    101   2.560682E-13  -2.418351E-10
