 *** DISPLACEMENT ***
  NODE         U              V
    159   7.641252E-11  -2.298114E-11
    160   7.444757E-11  -2.813243E-11
    161   7.226431E-11  -3.363657E-11
    162   6.991203E-11  -3.954889E-11
    163   6.745395E-11  -4.590915E-11
    164   6.496547E-11  -5.273779E-11
    165   6.253124E-11  -6.003301E-11
    166   6.024133E-11  -6.776906E-11
    167   5.818682E-11  -7.589607E-11
    168   5.645529E-11  -8.434147E-11
    169   5.512663E-11  -9.301293E-11
    170   5.426987E-11  -1.018024E-10
    171   5.394118E-11  -1.105911E-10
    172   8.258619E-11  -4.475554E-42
    173   8.193325E-11  -4.547395E-12
    174   8.101461E-11  -9.041859E-12
    175   7.982159E-11  -1.355531E-11
    176   7.835173E-11  -1.816240E-11
    177   7.661136E-11  -2.293822E-11
    178   7.461771E-11  -2.795542E-11
    179   7.240050E-11  -3.328081E-11
    180   7.000275E-11  -3.897167E-11
    181   6.748062E-11  -4.507192E-11
    182   6.490225E-11  -5.160856E-11
    183   6.234542E-11  -5.858867E-11
    184   5.989441E-11  -6.599737E-11
    185   5.763614E-11  -7.379711E-11
    186   5.565599E-11  -8.192822E-11
    187   5.403382E-11  -9.031105E-11
    188   5.284063E-11  -9.884913E-11
    189   5.213606E-11  -1.074332E-10
    190   5.196721E-11  -1.159452E-10
    191   8.301894E-11  -4.521591E-42
    192   8.231014E-11  -4.627927E-12
    193   8.133958E-11  -9.170925E-12
    194   8.010005E-11  -1.369772E-11
    195   7.858920E-11  -1.827996E-11
    196   7.681202E-11  -2.299019E-11
    197   7.478289E-11  -2.789934E-11
    198   7.252733E-11  -3.307374E-11
    199   7.008292E-11  -3.857181E-11
    200   6.749950E-11  -4.444057E-11
    201   6.483842E-11  -5.071229E-11
    202   6.217083E-11  -5.740153E-11
    203   5.957505E-11  -6.450288E-11
    204   5.713329E-11  -7.198981E-11
    205   5.492791E-11  -7.981468E-11
    206   5.303765E-11  -8.790997E-11
    207   5.153425E-11  -9.619077E-11
    208   5.047978E-11  -1.045580E-10
    209   4.992488E-11  -1.129020E-10
    210   4.990826E-11  -1.211060E-10
    211   8.349795E-11  -4.577118E-42
    212   8.272784E-11  -4.722010E-12
    213   8.169841E-11  -9.329031E-12
    214   8.040448E-11  -1.388680E-11
    215   7.884444E-11  -1.846410E-11
    216   7.702262E-11  -2.313092E-11
    217   7.495137E-11  -2.795632E-11
    218   7.265281E-11  -3.300574E-11
    219   7.015987E-11  -3.833811E-11
    220   6.751679E-11  -4.400267E-11
    221   6.477870E-11  -5.003584E-11
    222   6.201042E-11  -5.645835E-11
    223   5.928431E-11  -6.327298E-11
    224   5.667756E-11  -7.046300E-11
    225   5.426883E-11  -7.799173E-11
    226   5.213485E-11  -8.580319E-11
    227   5.034709E-11  -9.382379E-11
    228   4.896893E-11  -1.019649E-10
    229   4.805363E-11  -1.101260E-10
    230   4.764317E-11  -1.181976E-10
    231   4.776975E-11  -1.260673E-10
    232   8.402696E-11  -4.641237E-42
    233   8.319098E-11  -4.828948E-12
    234   8.209657E-11  -9.514617E-12
    235   8.074110E-11  -1.411993E-11
    236   7.912429E-11  -1.871091E-11
    237   7.725046E-11  -2.335507E-11
    238   7.513066E-11  -2.811944E-11
    239   7.278431E-11  -3.306833E-11
    240   7.024047E-11  -3.826064E-11
    241   6.753849E-11  -4.374705E-11
    242   6.472786E-11  -4.956718E-11
    243   6.186742E-11  -5.574685E-11
    244   5.902373E-11  -6.229575E-11
    245   5.626876E-11  -6.920578E-11
    246   5.367705E-11  -7.645022E-11
    247   5.132258E-11  -8.398382E-11
    248   4.927565E-11  -9.174393E-11
    249   4.760000E-11  -9.965240E-11
    250   4.635061E-11  -1.076182E-10
    251   4.557201E-11  -1.155400E-10
    252   4.533945E-11  -1.233665E-10
    253   4.555271E-11  -1.308186E-10
    254   8.460914E-11  -4.713044E-42
    255   8.370357E-11  -4.948113E-12
    256   8.253882E-11  -9.726303E-12
    257   8.111538E-11  -1.439481E-11
    258   7.943483E-11  -1.901701E-11
    259   7.750209E-11  -2.365796E-11
    260   7.532752E-11  -2.838267E-11
    261   7.292859E-11  -3.325402E-11
    262   7.033117E-11  -3.833050E-11
    263   6.757035E-11  -4.366362E-11
    264   6.469059E-11  -4.929538E-11
    265   6.174520E-11  -5.525564E-11
    266   5.879515E-11  -6.155995E-11
    267   5.590715E-11  -6.820769E-11
    268   5.315131E-11  -7.518105E-11
    269   5.059833E-11  -8.244470E-11
    270   4.831656E-11  -8.994635E-11
    271   4.636933E-11  -9.761818E-11
    272   4.481245E-11  -1.053788E-10
    273   4.369237E-11  -1.131357E-10
    274   4.312157E-11  -1.208947E-10
    275   4.298093E-11  -1.283408E-10
    276   4.326141E-11  -1.353507E-10
    277   8.524721E-11  -4.791592E-42
    278   8.426909E-11  -5.078918E-12
    279   8.302935E-11  -9.962838E-12
    280   8.153212E-11  -1.470939E-11
    281   7.978141E-11  -1.937939E-11
    282   7.778331E-11  -2.403552E-11
    283   7.554807E-11  -2.874067E-11
    284   7.309182E-11  -3.355619E-11
    285   7.043790E-11  -3.853979E-11
    286   6.761780E-11  -4.374333E-11
    287   6.467149E-11  -4.921044E-11
    288   6.164722E-11  -5.497422E-11
    289   5.860063E-11  -6.105501E-11
    290   5.559330E-11  -6.745867E-11
    291   5.269072E-11  -7.417526E-11
    292   4.995987E-11  -8.117846E-11
    293   4.746663E-11  -8.842575E-11
    294   4.527311E-11  -9.585926E-11
    295   4.343525E-11  -1.034073E-10
    296   4.200076E-11  -1.109864E-10
    297   4.111266E-11  -1.186537E-10
    298   4.063911E-11  -1.260713E-10
    299   4.057334E-11  -1.331084E-10
    300   4.090002E-11  -1.396550E-10
    301   8.594345E-11  -4.875869E-42
    302   8.489056E-11  -5.220791E-12
    303   8.357177E-11  -1.022305E-11
    304   8.199551E-11  -1.506180E-11
    305   8.016873E-11  -1.979539E-11
    306   7.809924E-11  -2.448409E-11
    307   7.579773E-11  -2.918872E-11
    308   7.327955E-11  -3.396893E-11
    309   7.056612E-11  -3.888143E-11
    310   6.768589E-11  -4.397799E-11
    311   6.467493E-11  -4.930330E-11
    312   6.157688E-11  -5.489290E-11
    313   5.844239E-11  -6.077107E-11
    314   5.532803E-11  -6.694913E-11
    315   5.229464E-11  -7.342407E-11
    316   4.940525E-11  -8.017770E-11
    317   4.672273E-11  -8.717650E-11
    318   4.430742E-11  -9.437211E-11
    319   4.221469E-11  -1.017024E-10
    320   4.049288E-11  -1.090929E-10
    321   3.930821E-11  -1.166451E-10
    322   3.852229E-11  -1.240109E-10
    323   3.813186E-11  -1.310538E-10
    324   3.812240E-11  -1.376571E-10
    325   3.847271E-11  -1.437232E-10
    326   8.669979E-11  -4.964757E-42
    327   8.557055E-11  -5.373139E-12
    328   8.416925E-11  -1.050578E-11
    329   8.250920E-11  -1.545030E-11
    330   8.060090E-11  -2.026252E-11
    331   7.845437E-11  -2.500039E-11
    332   7.608128E-11  -2.972258E-11
    333   7.349673E-11  -3.448698E-11
    334   7.072073E-11  -3.934908E-11
    335   6.777927E-11  -4.436023E-11
    336   6.470501E-11  -4.956568E-11
    337   6.153744E-11  -5.500274E-11
    338   5.832260E-11  -6.069887E-11
    339   5.511227E-11  -6.666996E-11
    340   5.196266E-11  -7.291898E-11
    341   4.893266E-11  -7.943500E-11
    342   4.608184E-11  -8.619275E-11
    343   4.346822E-11  -9.315277E-11
    344   4.114605E-11  -1.002621E-10
    345   3.916366E-11  -1.074554E-10
    346   3.770279E-11  -1.148697E-10
    347   3.662454E-11  -1.221607E-10
    348   3.593009E-11  -1.291874E-10
    349   3.560705E-11  -1.358268E-10
    350   3.563388E-11  -1.419755E-10
    351   3.598370E-11  -1.475475E-10
    352   8.751775E-11  -5.057001E-42
    353   8.631126E-11  -5.535311E-12
    354   8.482446E-11  -1.080984E-11
    355   8.307631E-11  -1.587313E-11
    356   8.108143E-11  -2.077844E-11
    357   7.885257E-11  -2.558135E-11
    358   7.640287E-11  -3.033836E-11
    359   7.374768E-11  -3.510553E-11
    360   7.090607E-11  -3.993698E-11
    361   6.790209E-11  -4.488333E-11
    362   6.476545E-11  -4.999000E-11
    363   6.153195E-11  -5.529552E-11
    364   5.824339E-11  -6.082979E-11
    365   5.494698E-11  -6.661252E-11
    366   5.169442E-11  -7.265178E-11
    367   4.854041E-11  -7.894303E-11
    368   4.554095E-11  -8.546848E-11
    369   4.275138E-11  -9.219693E-11
    370   4.022427E-11  -9.908416E-11
    371   3.800744E-11  -1.060737E-10
    372   3.629022E-11  -1.133282E-10
    373   3.493911E-11  -1.205216E-10
    374   3.396034E-11  -1.275096E-10
    375   3.334478E-11  -1.341638E-10
    376   3.307193E-11  -1.403751E-10
    377   3.311370E-11  -1.460527E-10
    378   3.343725E-11  -1.511203E-10
    379   8.839853E-11  -5.151166E-42
    380   8.711449E-11  -5.706560E-12
    381   8.553968E-11  -1.113391E-11
    382   8.369947E-11  -1.632849E-11
    383   8.161326E-11  -2.134083E-11
    384   7.929709E-11  -2.622404E-11
    385   7.676602E-11  -3.103244E-11
    386   7.403608E-11  -3.582017E-11
    387   7.112591E-11  -4.063984E-11
    388   6.805798E-11  -4.554114E-11
    389   6.485956E-11  -5.056930E-11
    390   6.156315E-11  -5.576359E-11
    391   5.820666E-11  -6.115578E-11
    392   5.483304E-11  -6.676862E-11
    393   5.148959E-11  -7.261455E-11
    394   4.822684E-11  -7.869459E-11
    395   4.509708E-11  -8.499761E-11
    396   4.215263E-11  -9.150002E-11
    397   3.944400E-11  -9.816580E-11
    398   3.701797E-11  -1.049471E-10
    399   3.506364E-11  -1.120211E-10
    400   3.345850E-11  -1.190945E-10
    401   3.221419E-11  -1.260213E-10
    402   3.132575E-11  -1.326686E-10
    403   3.077489E-11  -1.389215E-10
    404   3.053373E-11  -1.446846E-10
    405   3.056781E-11  -1.498784E-10
    406   3.083765E-11  -1.544347E-10
    407   8.934291E-11  -5.245585E-42
    408   8.798168E-11  -5.885981E-12
    409   8.631674E-11  -1.147649E-11
    410   8.438082E-11  -1.681440E-11
    411   8.219879E-11  -2.194725E-11
    412   7.979056E-11  -2.692554E-11
    413   7.717358E-11  -3.180131E-11
    414   7.436498E-11  -3.662670E-11
    415   7.138333E-11  -4.145273E-11
    416   6.824999E-11  -4.632794E-11
    417   6.499013E-11  -5.129711E-11
    418   6.163336E-11  -5.639985E-11
    419   5.821403E-11  -6.166925E-11
    420   5.477111E-11  -6.713052E-11
    421   5.134771E-11  -7.279969E-11
    422   4.799023E-11  -7.868261E-11
    423   4.474714E-11  -8.477407E-11
    424   4.166757E-11  -9.105732E-11
    425   3.879960E-11  -9.750399E-11
    426   3.618854E-11  -1.040743E-10
    427   3.401563E-11  -1.109485E-10
    428   3.217456E-11  -1.178805E-10
    429   3.068261E-11  -1.247236E-10
    430   2.953960E-11  -1.313418E-10
    431   2.873048E-11  -1.376151E-10
    432   2.822874E-11  -1.434426E-10
    433   2.799966E-11  -1.487415E-10
    434   2.800222E-11  -1.534426E-10
    435   2.818921E-11  -1.574840E-10
    436   9.035125E-11  -5.338304E-42
    437   8.891386E-11  -6.072446E-12
    438   8.715705E-11  -1.183575E-11
    439   8.512199E-11  -1.732858E-11
    440   8.283986E-11  -2.259503E-11
    441   8.033499E-11  -2.768278E-11
    442   7.762772E-11  -3.264143E-11
    443   7.473669E-11  -3.752105E-11
    444   7.168075E-11  -4.237093E-11
    445   6.848049E-11  -4.723835E-11
    446   6.515934E-11  -5.216736E-11
    447   6.174437E-11  -5.719761E-11
    448   5.826670E-11  -6.236308E-11
    449   5.476158E-11  -6.769084E-11
    450   5.126812E-11  -7.319992E-11
    451   4.782870E-11  -7.890025E-11
    452   4.448796E-11  -8.479179E-11
    453   4.129165E-11  -9.086399E-11
    454   3.828518E-11  -9.709544E-11
    455   3.551202E-11  -1.034540E-10
    456   3.313828E-11  -1.101105E-10
    457   3.107868E-11  -1.168803E-10
    458   2.935610E-11  -1.236180E-10
    459   2.797561E-11  -1.301849E-10
    460   2.692617E-11  -1.364567E-10
    461   2.618374E-11  -1.423274E-10
    462   2.571440E-11  -1.477098E-10
    463   2.547682E-11  -1.525328E-10
    464   2.542291E-11  -1.567359E-10
    465   2.549631E-11  -1.602619E-10
    466   9.142340E-11  -5.427006E-42
    467   8.991157E-11  -6.264507E-12
    468   8.806153E-11  -1.220943E-11
    469   8.592411E-11  -1.786826E-11
    470   8.353769E-11  -2.328110E-11
    471   8.093173E-11  -2.849239E-11
    472   7.812992E-11  -3.354909E-11
    473   7.515279E-11  -3.849906E-11
    474   7.201982E-11  -4.338978E-11
    475   6.875113E-11  -4.826710E-11
    476   6.536872E-11  -5.317422E-11
    477   6.189741E-11  -5.815050E-11
    478   5.836537E-11  -6.323045E-11
    479   5.480440E-11  -6.844254E-11
    480   5.124983E-11  -7.380819E-11
    481   4.774011E-11  -7.934078E-11
    482   4.431610E-11  -8.504478E-11
    483   4.102009E-11  -9.091510E-11
    484   3.789459E-11  -9.693670E-11
    485   3.498090E-11  -1.030844E-10
    486   3.242328E-11  -1.095068E-10
    487   3.016178E-11  -1.160950E-10
    488   2.822474E-11  -1.227059E-10
    489   2.662273E-11  -1.291997E-10
    490   2.534936E-11  -1.354483E-10
    491   2.438388E-11  -1.413407E-10
    492   2.369419E-11  -1.467850E-10
    493   2.323960E-11  -1.517069E-10
    494   2.297210E-11  -1.560460E-10
    495   2.283576E-11  -1.597492E-10
    496   2.276334E-11  -1.627629E-10
    497   9.255854E-11  -5.508916E-42
    498   9.097485E-11  -6.460276E-12
    499   8.903059E-11  -1.259461E-11
    500   8.678770E-11  -1.843005E-11
    501   8.429286E-11  -2.400178E-11
    502   8.158138E-11  -2.935049E-11
    503   7.868085E-11  -3.452019E-11
    504   7.561404E-11  -3.955636E-11
    505   7.240137E-11  -4.450451E-11
    506   6.906274E-11  -4.940900E-11
    507   6.561899E-11  -5.431198E-11
    508   6.209294E-11  -5.925234E-11
    509   5.851008E-11  -6.426478E-11
